,month,province,quarter_x,year,totalcases,numdeaths,population,quarter_y,numtotal_atleast1dose,numtotal_fully,quarter,vaccination_score_atleast1dose,vaccination_score_fully
0,2,Alberta,1,2020,0,0,,,,,,,
1,3,Alberta,1,2020,665,1,,,,,,,
2,4,Alberta,2,2020,4228,84,4414332.0,2.0,,,,,
3,5,Alberta,2,2020,6934,144,,,,,,,
4,6,Alberta,2,2020,7939,154,,,,,,,
5,7,Alberta,3,2020,10228,184,4416682.0,3.0,,,,,
6,8,Alberta,3,2020,13693,237,,,,,,,
7,9,Alberta,3,2020,17590,262,,,,,,,
8,10,Alberta,4,2020,28558,333,4421857.0,4.0,,,,,
9,11,Alberta,4,2020,56040,567,,,,,,,
10,12,Alberta,4,2020,97394,1117,,,4792.0,0.0,4.0,,
11,1,Alberta,1,2021,124036,1744,4429077.0,1.0,90238.0,15994.0,1.0,0.020373996658897553,0.0036111361351360565
12,2,Alberta,1,2021,133403,1905,,,139961.0,87407.0,1.0,,
13,3,Alberta,1,2021,146145,1987,,,504407.0,96131.0,1.0,,
14,4,Alberta,2,2021,181429,2070,4436944.0,2.0,1127370.0,270640.0,2.0,0.2540870473010252,0.060996938433300035
15,5,Alberta,2,2021,227108,2223,,,2357833.0,379920.0,2.0,,
16,6,Alberta,2,2021,231782,2297,,,2663494.0,1292072.0,2.0,,
17,7,Alberta,3,2021,234765,2324,4443773.0,3.0,2825516.0,2465550.0,3.0,0.6358371590988109,0.5548325713307138
18,8,Alberta,3,2021,251100,2372,,,2898859.0,2616799.0,3.0,,
19,9,Alberta,3,2021,291738,2670,,,3089325.0,2763880.0,3.0,,
20,10,Alberta,4,2021,323966,3119,4466124.0,4.0,3244251.0,3005696.0,4.0,0.7264131045174742,0.6729987792546737
21,11,Alberta,4,2021,335032,3245,,,3351130.0,3149338.0,4.0,,
22,12,Alberta,4,2021,352832,3303,,,3442633.0,3192081.0,4.0,,
23,1,Alberta,1,2022,490582,3579,4482385.0,1.0,3522746.0,3274722.0,1.0,0.7859088409407046,0.7305757983751954
24,2,Alberta,1,2022,524226,3918,,,3541971.0,3340544.0,1.0,,
25,3,Alberta,1,2022,538943,4068,,,3549634.0,3366905.0,1.0,,
26,4,Alberta,2,2022,568719,4315,4502858.0,2.0,3556699.0,3382557.0,2.0,0.7898758965972278,0.7512022364462748
27,5,Alberta,2,2022,582642,4526,,,3564293.0,3393170.0,2.0,,
28,6,Alberta,2,2022,588197,4614,,,3569539.0,3400971.0,2.0,,
29,7,Alberta,3,2022,595544,4691,4543111.0,3.0,3573383.0,3407087.0,3.0,0.7865497893403881,0.7499457970540451
30,8,Alberta,3,2022,601942,4801,,,3585477.0,3413386.0,3.0,,
31,9,Alberta,3,2022,606787,4911,,,3596158.0,3418439.0,3.0,,
32,10,Alberta,4,2022,613625,5090,,,3601165.0,3423392.0,4.0,,
33,11,Alberta,4,2022,616339,5137,,,3605381.0,3429733.0,4.0,,
