,province,quarter,year,totalcases,numdeaths,population,numtotal_atleast1dose,numtotal_fully,vaccination_score_atleast1dose,vaccination_score_fully
0,Alberta,1,2020,665,1,4401362.0,,,,
1,Alberta,2,2020,7939,154,4414332.0,,,,
2,Alberta,3,2020,17590,262,4416682.0,,,,
3,Alberta,4,2020,97394,1117,4421857.0,4792.0,0.0,0.0010837075916294897,0.0
4,Alberta,1,2021,146145,1987,4429077.0,504407.0,96131.0,0.11388535353980073,0.021704522183741668
5,Alberta,2,2021,231782,2297,4436944.0,2663494.0,1292072.0,0.6002992149551584,0.2912076420166673
6,Alberta,3,2021,291738,2670,4443773.0,3089325.0,2763880.0,0.6952031528163117,0.6219669636590348
7,Alberta,4,2021,352832,3303,4466124.0,3442633.0,3192081.0,0.7708323817251828,0.7147318345840823
8,Alberta,1,2022,538943,4068,4482385.0,3549634.0,3366905.0,0.7919074332079908,0.7511414124400292
9,Alberta,2,2022,588197,4614,4502858.0,3569539.0,3400971.0,0.7927274188970649,0.7552916392211346
10,Alberta,3,2022,606787,4911,4543111.0,3596158.0,3418439.0,0.79156287398657,0.7524445253483791
11,Alberta,4,2022,616339,5137,,3605381.0,3429733.0,,
12,British Columbia,1,2020,884,16,5138710.0,,,,
13,British Columbia,2,2020,2878,174,5150199.0,,,,
14,British Columbia,3,2020,8641,230,5155495.0,,,,
15,British Columbia,4,2020,49568,847,5151920.0,12447.0,0.0,0.002415992484355347,0.0
16,British Columbia,1,2021,96613,1452,5157293.0,613971.0,87439.0,0.11904908253225092,0.016954437143672077
17,British Columbia,2,2021,147475,1749,5176360.0,3549916.0,1319651.0,0.6857938783237642,0.25493802594873616
18,British Columbia,3,2021,183417,1922,5202378.0,4047010.0,3719131.0,0.7779154071465011,0.7148905750408755
19,British Columbia,4,2021,238210,2414,5238713.0,4358089.0,4083118.0,0.8319006977477101,0.7794124243874402
20,British Columbia,1,2022,355299,2983,5251578.0,4505751.0,4314412.0,0.8579804013193748,0.8215458287013923
21,British Columbia,2,2022,374594,3747,5273809.0,4524033.0,4357594.0,0.8578302703036838,0.8262707276657156
22,British Columbia,3,2022,384900,4283,5319324.0,4556344.0,4369842.0,0.8565644807498095,0.8215032586847502
23,British Columbia,4,2022,388984,4607,,4567535.0,4386791.0,,
24,Manitoba,1,2020,64,1,1377248.0,,,,
25,Manitoba,2,2020,322,7,1379138.0,,,,
26,Manitoba,3,2020,1829,19,1379888.0,,,,
27,Manitoba,4,2020,23624,617,1381572.0,2177.0,0.0,0.0015757412570607974,0.0
28,Manitoba,1,2021,33867,933,1384025.0,117810.0,54940.0,0.0851212947742996,0.03969581474323079
29,Manitoba,2,2021,55878,1138,1388726.0,870030.0,435269.0,0.6264950753424362,0.3134304391219002
30,Manitoba,3,2021,60100,1208,1391979.0,1018930.0,959560.0,0.7320009856470536,0.6893494801286514
31,Manitoba,4,2021,74358,1370,1395430.0,1119954.0,1033967.0,0.8025870161885583,0.7409665837770436
32,Manitoba,1,2022,135214,1744,1398303.0,1153245.0,1105079.0,0.824746138712425,0.7903000994777241
33,Manitoba,2,2022,145498,2043,1401967.0,1149061.0,1106889.0,0.8196063102769181,0.7895257163685022
34,Manitoba,3,2022,149908,2160,1409223.0,1154499.0,1109400.0,0.8192450733489306,0.7872423314124166
35,Manitoba,4,2022,152345,2261,,1157581.0,1111326.0,,
36,New Brunswick,1,2020,51,0,780677.0,,,,
37,New Brunswick,2,2020,165,2,782092.0,,,,
38,New Brunswick,3,2020,200,2,782996.0,,,,
39,New Brunswick,4,2020,590,8,783354.0,2606.0,0.0,0.0033267207418357474,0.0
40,New Brunswick,1,2021,1571,30,784472.0,80202.0,12199.0,0.10223691858982857,0.015550586891565282
41,New Brunswick,2,2021,2324,45,786529.0,531232.0,199865.0,0.6754131125489333,0.25411014724186903
42,New Brunswick,3,2021,3768,54,790398.0,613699.0,558164.0,0.7764430071938441,0.7061809366926536
43,New Brunswick,4,2021,11896,152,795851.0,677944.0,625614.0,0.8518478961514153,0.7860943819885883
44,New Brunswick,1,2022,48197,349,799245.0,698387.0,658647.0,0.8738084066838079,0.824086481617026
45,New Brunswick,2,2022,67725,425,802862.0,700332.0,662105.0,0.8722943669024067,0.8246809538874675
46,New Brunswick,3,2022,77460,485,812061.0,703168.0,663952.0,0.8659053938066229,0.8176134551468425
47,New Brunswick,4,2022,81787,603,,704159.0,664984.0,,
48,Newfoundland and Labrador,1,2020,120,0,523345.0,,,,
49,Newfoundland and Labrador,2,2020,261,3,522505.0,,,,
50,Newfoundland and Labrador,3,2020,272,3,521359.0,,,,
51,Newfoundland and Labrador,4,2020,384,4,520203.0,1785.0,0.0,0.003431352760364704,0.0
52,Newfoundland and Labrador,1,2021,1015,6,519736.0,51244.0,9647.0,0.09859621038373328,0.018561346529776656
53,Newfoundland and Labrador,2,2021,1384,7,519694.0,378807.0,79374.0,0.7289039319291737,0.15273218470869396
54,Newfoundland and Labrador,3,2021,1668,7,520452.0,426570.0,387043.0,0.8196144889442254,0.743667043262395
55,Newfoundland and Labrador,4,2021,2512,18,521854.0,485454.0,447320.0,0.9302486902466973,0.8571746120562456
56,Newfoundland and Labrador,1,2022,36624,100,522501.0,498548.0,477452.0,0.9541570255367933,0.9137819831923767
57,Newfoundland and Labrador,2,2022,47773,193,523043.0,499706.0,480313.0,0.9553822534667322,0.9183049959563554
58,Newfoundland and Labrador,3,2022,51743,239,525972.0,502160.0,481372.0,0.9547276280866662,0.9152046116523314
59,Newfoundland and Labrador,4,2022,53150,268,,503396.0,482298.0,,
60,Northwest Territories,1,2020,1,0,45270.0,,,,
61,Northwest Territories,2,2020,5,0,45351.0,,,,
62,Northwest Territories,3,2020,5,0,45346.0,,,,
63,Northwest Territories,4,2020,24,0,45275.0,0.0,0.0,0.0,0.0
64,Northwest Territories,1,2021,42,0,45355.0,23721.0,13931.0,0.5230073861757248,0.3071546687245067
65,Northwest Territories,2,2021,128,0,45660.0,26936.0,23785.0,0.5899255365746824,0.5209154621112572
66,Northwest Territories,3,2021,870,2,45597.0,30187.0,28240.0,0.6620391692435906,0.6193389916003246
67,Northwest Territories,4,2021,2088,12,45607.0,34048.0,31045.0,0.7465520643760826,0.680706909027123
68,Northwest Territories,1,2022,10374,21,45710.0,35049.0,33463.0,0.7667687595712098,0.7320717567271932
69,Northwest Territories,2,2022,11508,22,45698.0,35159.0,33706.0,0.7693772156330693,0.7375815134141538
70,Nova Scotia,1,2020,102,0,977498.0,,,,
71,Nova Scotia,2,2020,1061,63,979075.0,,,,
72,Nova Scotia,3,2020,1087,65,981691.0,,,,
73,Nova Scotia,4,2020,1469,65,981266.0,2218.0,0.0,0.002260345309019165,0.0
74,Nova Scotia,1,2021,1705,66,981793.0,64681.0,24294.0,0.06588048600876152,0.0247445235400945
75,Nova Scotia,2,2021,5820,91,985238.0,698309.0,168241.0,0.708771890649772,0.17076178547721466
76,Nova Scotia,3,2021,6511,95,991117.0,778358.0,721789.0,0.7853341230147399,0.7282581168519963
77,Nova Scotia,4,2021,14301,111,998387.0,868894.0,803331.0,0.8702977903358117,0.804628866361441
78,Nova Scotia,1,2022,53825,241,1002441.0,898705.0,849216.0,0.896516602972145,0.8471481114599263
79,Nova Scotia,2,2022,106633,441,1007360.0,901462.0,856948.0,0.8948757147395171,0.8506869440914867
80,Nova Scotia,3,2022,125474,541,1019725.0,907253.0,860389.0,0.8897035965578955,0.8437461080193189
81,Nova Scotia,4,2022,131825,628,,909865.0,863894.0,,
82,Nunavut,1,2020,0,0,38720.0,,,,
83,Nunavut,2,2020,0,0,38834.0,,,,
84,Nunavut,3,2020,0,0,39157.0,,,,
85,Nunavut,4,2020,264,1,39254.0,0.0,0.0,0.0,0.0
86,Nunavut,1,2021,395,4,39405.0,13141.0,6857.0,0.33348559827433066,0.1740134500697881
87,Nunavut,2,2021,657,4,39519.0,21050.0,16151.0,0.5326551785217237,0.40868949113084846
88,Nunavut,3,2021,663,4,39711.0,24701.0,21655.0,0.6220190879101508,0.5453149001536098
89,Nunavut,4,2021,695,4,39921.0,30150.0,25173.0,0.7552416021642745,0.6305703764935748
90,Nunavut,1,2022,3441,6,40003.0,32932.0,29419.0,0.8232382571307152,0.7354198435117366
91,Nunavut,2,2022,3506,7,40403.0,33220.0,30427.0,0.8222161720664307,0.7530876420067817
92,Ontario,1,2020,993,0,14686092.0,,,,
93,Ontario,2,2020,34476,2618,14718133.0,,,,
94,Ontario,3,2020,49340,2799,14726022.0,,,,
95,Ontario,4,2020,169411,4258,14721852.0,,,,
96,Ontario,1,2021,340692,7111,14740102.0,1672351.0,309157.0,0.11345586346688781,0.020973871144175257
97,Ontario,2,2021,543917,8858,14773618.0,9864684.0,4169080.0,0.6677229640024536,0.2821976309391511
98,Ontario,3,2021,583275,9422,14809257.0,11191067.0,10464086.0,0.7556805179355048,0.7065908843367361
99,Ontario,4,2021,687336,9857,14901607.0,12114044.0,11352387.0,0.8129354102547464,0.7618230033848027
100,Ontario,1,2022,1151090,12397,14940912.0,12518007.0,12042918.0,0.8378341964667217,0.8060363383440047
101,Ontario,2,2022,1321827,13388,14996014.0,12566850.0,12130628.0,0.8380126879049326,0.8089234912690799
102,Ontario,3,2022,1444227,14312,15109416.0,12644274.0,12176392.0,0.836847301047241,0.8058810479504965
103,Ontario,4,2022,1507773,15016,,12670372.0,12204172.0,,
104,Prince Edward Island,1,2020,13,0,159369.0,,,,
105,Prince Edward Island,2,2020,27,0,160390.0,,,,
106,Prince Edward Island,3,2020,58,0,161305.0,,,,
107,Prince Edward Island,4,2020,94,0,161455.0,1147.0,0.0,0.007104146666253755,0.0
108,Prince Edward Island,1,2021,156,0,161662.0,15297.0,6399.0,0.09462334995236976,0.03958258588907721
109,Prince Edward Island,2,2021,207,0,162866.0,114423.0,28349.0,0.702559159063279,0.17406334041481955
