,month,province,quarter_x,year,totalcases,numdeaths,population,quarter_y,numtotal_atleast1dose,numtotal_fully,quarter,vaccination_score_atleast1dose,vaccination_score_fully,new_cases,new_deaths,new_vaccination,death_score,case_score
0,2,Alberta,1,2020,0,0,,,,,,,,,,,,
1,3,Alberta,1,2020,665,1,,,,,,,,665.0,1.0,,,
2,4,Alberta,2,2020,4228,84,4414332.0,2.0,,,,,,3563.0,83.0,,1.9028926686982312e-05,0.000957789309911443
3,5,Alberta,2,2020,6934,144,,,,,,,,2706.0,60.0,,,
4,6,Alberta,2,2020,7939,154,,,,,,,,1005.0,10.0,,,
5,7,Alberta,3,2020,10228,184,4416682.0,3.0,,,,,,2289.0,30.0,,4.166023272673921e-05,0.002315765545266786
6,8,Alberta,3,2020,13693,237,,,,,,,,3465.0,53.0,,,
7,9,Alberta,3,2020,17590,262,,,,,,,,3897.0,25.0,,,
8,10,Alberta,4,2020,28558,333,4421857.0,4.0,,,,,,10968.0,71.0,,7.530772704770869e-05,0.006458372579665059
9,11,Alberta,4,2020,56040,567,,,,,,,,27482.0,234.0,,,
10,12,Alberta,4,2020,97394,1117,,,4792.0,0.0,4.0,,,41354.0,550.0,,,
11,1,Alberta,1,2021,124036,1744,4429077.0,1.0,90238.0,15994.0,1.0,0.0203739966588975,0.003611136135136,26642.0,627.0,85446.0,0.0003937614992920647,0.028004931953090905
12,2,Alberta,1,2021,133403,1905,,,139961.0,87407.0,1.0,,,9367.0,161.0,49723.0,,
13,3,Alberta,1,2021,146145,1987,,,504407.0,96131.0,1.0,,,12742.0,82.0,364446.0,,
14,4,Alberta,2,2021,181429,2070,4436944.0,2.0,1127370.0,270640.0,2.0,0.2540870473010252,0.0609969384333,35284.0,83.0,622963.0,0.00046653732839540006,0.04089053186156959
15,5,Alberta,2,2021,227108,2223,,,2357833.0,379920.0,2.0,,,45679.0,153.0,1230463.0,,
16,6,Alberta,2,2021,231782,2297,,,2663494.0,1292072.0,2.0,,,4674.0,74.0,305661.0,,
17,7,Alberta,3,2021,234765,2324,4443773.0,3.0,2825516.0,2465550.0,3.0,0.6358371590988109,0.5548325713307138,2983.0,27.0,162022.0,0.0005229790090537928,0.052830106308310525
18,8,Alberta,3,2021,251100,2372,,,2898859.0,2616799.0,3.0,,,16335.0,48.0,73343.0,,
19,9,Alberta,3,2021,291738,2670,,,3089325.0,2763880.0,3.0,,,40638.0,298.0,190466.0,,
